Object,serverPath,fileName,tooltip,userFriendlyName,enablable,version,dependencies,updateDefault,launcherVersionRequired,inferFrom,localPath,Changelog,hash
BLCMM_Data_TPS_Actions,Data/TPS/,BLCMM_Data_TPS_Actions.jar,,Actions object data for TPS,True,1.2.0,DataInteractor,False,1, ,/BLCMM/data/TPS/, ,6bb8fc686da5ef82a66c99ba6aea7d8962aed13e4cbb305f0afd5d6b598b2c1a
BLCMM_Data_TPS_AI,Data/TPS/,BLCMM_Data_TPS_AI.jar,,AI object data for TPS,True,1.2.0,DataInteractor,False,1, ,/BLCMM/data/TPS/, ,0709f547ec1ec4b24cbe5b41922657e3aa5749ebed8385684e60755213262ad7
BLCMM_Data_TPS_Base,Data/TPS/,BLCMM_Data_TPS_Base.jar,,Basic object data for TPS,True,1.2.0,DataInteractor,False,1, ,/BLCMM/data/TPS/, ,0e53d0fb92b54d104dba9a8ce2116e61d66549215ff97fbec4c885a59a907e7a
BLCMM_Data_TPS_Behaviors,Data/TPS/,BLCMM_Data_TPS_Behaviors.jar,,Behavior object data for TPS,True,1.2.0,DataInteractor,False,1, ,/BLCMM/data/TPS/, ,66bbc6c3751973bfe0b2a25576637721d623c1efd044af7bd1ac3d53cd86f4d5
BLCMM_Data_TPS_Dialog,Data/TPS/,BLCMM_Data_TPS_Dialog.jar,,Dialog object data for TPS,True,1.2.0,DataInteractor,False,1, ,/BLCMM/data/TPS/, ,7a51a19e7c7674901da48b11b62cffadce59a8b06f91e38c3c53429745c26a4a
BLCMM_Data_TPS_Kismets,Data/TPS/,BLCMM_Data_TPS_Kismets.jar,,Kismet object data for TPS,True,1.2.0,DataInteractor,False,1, ,/BLCMM/data/TPS/, ,de5c46013987088c5bb7cd96b2f0dd924e5172d510f078fba8ebf2f032e85143
BLCMM_Data_TPS_Meshes,Data/TPS/,BLCMM_Data_TPS_Meshes.jar,,Meshes object data for TPS,True,1.2.0,DataInteractor,False,1, ,/BLCMM/data/TPS/, ,60e5e0389b469f245d55d227017ff98cd9bcec69430a4e597ab674ae6ee9ba6b
BLCMM_Data_TPS_Missions,Data/TPS/,BLCMM_Data_TPS_Missions.jar,,Mission object data for TPS,True,1.2.0,DataInteractor,False,1, ,/BLCMM/data/TPS/, ,607f362b967a37a98e5f59135590fe6d94a3e060ce68ea068a62f2c871603e21
BLCMM_Data_TPS_Particles,Data/TPS/,BLCMM_Data_TPS_Particles.jar,,Particle object data for TPS,True,1.2.0,DataInteractor,False,1, ,/BLCMM/data/TPS/, ,b3f7d69fc2cdbb8bcee8b940cb3750cf0b5283e90f4e440bf18ea4bc1ecd08da
BLCMM_Data_TPS_Populations,Data/TPS/,BLCMM_Data_TPS_Populations.jar,,Population object data for TPS,True,1.2.0,DataInteractor,False,1, ,/BLCMM/data/TPS/, ,406dff018ebf14388d24e8a6bb3e30ba4cd4c89b507c5a5a671914cc699edb80
BLCMM_Data_TPS_Skins,Data/TPS/,BLCMM_Data_TPS_Skins.jar,,Skin object data for TPS,True,1.2.0,DataInteractor,False,1, ,/BLCMM/data/TPS/, ,606a2b6f61f8e310ddcbe0ec12683b78f13b788f2c0c78eee5c8dbef8789234c
BLCMM_Data_TPS_StaticMeshes,Data/TPS/,BLCMM_Data_TPS_StaticMeshes.jar,warning: this is a big dataset with very few uses,StaticMeshes object data for TPS,True,1.2.0,DataInteractor,False,1, ,/BLCMM/data/TPS/, ,e945fbe1d164797fd159be626a583ee67c5673793b9c84c4e446abe64093d563
BLCMM_Data_TPS_WillowData,Data/TPS/,BLCMM_Data_TPS_WillowData.jar,warning: this is a big dataset with very few uses,WillowData object data for TPS,True,1.2.0,DataInteractor,False,1, ,/BLCMM/data/TPS/, ,a4715b7bbdbf5a84ce43c26c858bd01230e24e38bf9990f9fb53ef4ea96e5777
TimesXSpawns,Plugins/,BLCMM_P_TimesXSpawns.jar,,Times x spawns generator,True,1.2.0,DataInteractor;BLCMM_Utilities,False,1, ,/BLCMM/plugins/, ,7dc51a5aea37a5da588d7460504e796eecd90936faa1fd7bc2bccc44b25b6c05
